@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1327,'2019/01/26 16:10:56:527',8,0,0,-0.992599,0.992621,0.001224,0,1,1,0.001833,0.011817
1328,'2019/01/26 16:10:56:559',8,0,0,-0.995758,0.995784,0.00153,0,1,1,0.001833,0.011817
1329,'2019/01/26 16:10:56:588',8,0,0,-0.990997,0.991021,0.001622,0,1,1,0.001833,0.011817
1330,'2019/01/26 16:10:56:615',8,0,0,-0.994766,0.994791,0.001628,0,1,1,0.001833,0.011817
1331,'2019/01/26 16:10:56:645',8,0,0,-0.99173,0.991759,0.001628,0,1,1,0.001833,0.011817
1332,'2019/01/26 16:10:56:675',8,0,0,-0.994141,0.994163,0.001499,0,1,1,0.001833,0.011817
1333,'2019/01/26 16:10:56:706',8,0,0,-0.994278,0.994309,0.001533,0,1,1,0.001833,0.011817
1334,'2019/01/26 16:10:56:736',8,0,0,-0.992172,0.992199,0.001563,0,1,1,0.001833,0.011817
1335,'2019/01/26 16:10:56:767',8,0,0,-0.99411,0.994138,0.00142,0,1,1,0.001833,0.011817
1336,'2019/01/26 16:10:56:799',8,0,0,-0.991852,0.991874,0.001487,0,1,1,0.001833,0.011817
1337,'2019/01/26 16:10:56:828',8,0,0,-0.993896,0.993924,0.001482,0,1,1,0.001833,0.011817
1338,'2019/01/26 16:10:56:859',8,0,0,-0.992432,0.992457,0.001266,0,1,1,0.001833,0.011817
1339,'2019/01/26 16:10:56:889',8,0,0,-0.99353,0.993549,0.001071,0,1,1,0.001833,0.011817
1340,'2019/01/26 16:10:56:924',8,0,0,-0.99321,0.993237,0.000951,0,1,1,0.001833,0.011817
1341,'2019/01/26 16:10:56:953',8,0,0,-0.992081,0.992104,0.000904,0,1,1,0.001833,0.011817
1342,'2019/01/26 16:10:56:979',8,0,0,-0.99353,0.993557,0.000856,0,1,1,0.001833,0.011817
1343,'2019/01/26 16:10:57:010',8,0,0,-0.991119,0.991151,0.000945,0,1,1,0.001833,0.011817
1344,'2019/01/26 16:10:57:041',8,0,0,-0.993484,0.993509,0.00094,0,1,1,0.001833,0.011817
1345,'2019/01/26 16:10:57:071',8,0,0,-0.992615,0.992644,0.000855,0,1,1,0.001833,0.011817
1346,'2019/01/26 16:10:57:100',8,0,0,-0.993057,0.993084,0.0008,0,1,1,0.001833,0.011817
1347,'2019/01/26 16:10:57:130',8,0,0,-0.993607,0.993634,0.000767,0,1,1,0.001833,0.011817
1348,'2019/01/26 16:10:57:160',8,0,0,-0.992584,0.992609,0.00076,0,1,1,0.001833,0.011817
1349,'2019/01/26 16:10:57:190',8,0,0,-0.993774,0.993805,0.000784,0,1,1,0.001833,0.011817
1350,'2019/01/26 16:10:57:221',8,0,0,-0.992584,0.99261,0.000782,0,1,1,0.001833,0.011817
1351,'2019/01/26 16:10:57:257',8,0,0,-0.994308,0.994341,0.000848,0,1,1,0.001833,0.011817
1352,'2019/01/26 16:10:57:281',8,0,0,-0.992783,0.992809,0.000836,0,1,1,0.001833,0.011817
1353,'2019/01/26 16:10:57:311',8,0,0,-0.992996,0.993015,0.00056,0,1,1,0.001833,0.011817
1354,'2019/01/26 16:10:57:342',8,0,0,-0.993484,0.993514,0.00056,0,1,1,0.001833,0.011817
1355,'2019/01/26 16:10:57:371',8,0,0,-0.99118,0.991203,0.000813,0,1,1,0.001833,0.011817
1356,'2019/01/26 16:10:57:401',8,0,0,-0.993423,0.993455,0.000821,0,1,1,0.001833,0.011817
1357,'2019/01/26 16:10:57:431',8,0,0,-0.992233,0.992257,0.000835,0,1,1,0.001833,0.011817
1358,'2019/01/26 16:10:57:463',8,0,0,-0.993362,0.993381,0.000835,0,1,1,0.001833,0.011817
1359,'2019/01/26 16:10:57:492',8,0,0,-0.993225,0.993257,0.000801,0,1,1,0.001833,0.011817
1360,'2019/01/26 16:10:57:522',8,0,0,-0.99295,0.992972,0.000791,0,1,1,0.001833,0.011817
1361,'2019/01/26 16:10:57:552',8,0,0,-0.993759,0.993789,0.000713,0,1,1,0.001833,0.011817
1362,'2019/01/26 16:10:57:583',8,0,0,-0.992188,0.992214,0.000748,0,1,1,0.001833,0.011817
1363,'2019/01/26 16:10:57:612',8,0,0,-0.994186,0.994217,0.000845,0,1,1,0.001833,0.011817
